Layer,Type,Shape,Min,Max,Mean,Std,L1
conv1,w,"(64, 3, 7, 7)",-0.701794505119,0.774486899376,-0.00077639776282,0.105768099427,0.774486899376
bn_conv1,w,"(64,)",-5.76202392578,6.19762516022,0.189944669604,1.72287118435,6.19762516022
bn_conv1,b,"(64,)",2.5196109732e-07,119297.578125,11079.6513672,19957.2636719,119297.578125
bn_conv1,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale_conv1,w,"(64,)",-0.860917747021,2.96240496635,1.10783624649,0.59760260582,2.96240496635
scale_conv1,b,"(64,)",-2.0513689518,6.31717300415,1.22783863544,2.38269472122,6.31717300415
res2a_branch1,w,"(256, 64, 1, 1)",-0.833163321018,0.792403459549,-0.00181891396642,0.0545139834285,0.833163321018
bn2a_branch1,w,"(256,)",-14.0298833847,10.2457857132,-0.679720401764,2.44735860825,14.0298833847
bn2a_branch1,b,"(256,)",2.88058629394e-07,5.86959075928,1.20922803879,1.24301862717,5.86959075928
bn2a_branch1,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale2a_branch1,w,"(256,)",0.247142970562,4.16348695755,1.58287036419,0.799221038818,4.16348695755
scale2a_branch1,b,"(256,)",-1.25193047523,1.96757805347,0.0368571430445,0.551667809486,1.96757805347
res2a_branch2a,w,"(64, 64, 1, 1)",-0.600083827972,0.440284997225,-0.00161956273951,0.0612481944263,0.600083827972
bn2a_branch2a,w,"(64,)",-4.7861661911,5.9273557663,-0.587218880653,2.06236863136,5.9273557663
bn2a_branch2a,b,"(64,)",1.23995757238e-13,8.07206630707,1.06047809124,1.37260961533,8.07206630707
bn2a_branch2a,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale2a_branch2a,w,"(64,)",0.185742273927,1.94525182247,0.986855506897,0.422102302313,1.94525182247
scale2a_branch2a,b,"(64,)",-2.3056511879,3.66978859901,-0.0562469512224,1.18815076351,3.66978859901
res2a_branch2b,w,"(64, 64, 3, 3)",-0.307375282049,0.361731052399,0.000101638412161,0.0228626839817,0.361731052399
bn2a_branch2b,w,"(64,)",-3.54770851135,2.47953414917,0.177815139294,1.0510686636,3.54770851135
bn2a_branch2b,b,"(64,)",1.55059450523e-12,16.1914825439,1.95493459702,3.4157333374,16.1914825439
bn2a_branch2b,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale2a_branch2b,w,"(64,)",0.133901566267,1.8375262022,0.632621765137,0.380183279514,1.8375262022
