Layer,Type,Shape,Min,Max,Mean,Std,L1
conv1_1,w,"(64, 3, 3, 3)",-0.67140007019,0.608515918255,-0.0024379089009,0.206699445844,0.67140007019
conv1_1,b,"(64,)",-0.0158289261162,2.06403708458,0.501391172409,0.328479915857,2.06403708458
conv1_2,w,"(64, 64, 3, 3)",-0.21561293304,0.289170950651,0.00491224694997,0.0424779504538,0.289170950651
conv1_2,b,"(64,)",-1.02715134621,0.905218422413,0.0585559159517,0.334783911705,1.02715134621
conv2_1,w,"(128, 64, 3, 3)",-0.335948228836,0.416611075401,0.000198591544176,0.0322230756283,0.416611075401
conv2_1,b,"(128,)",-0.179220631719,0.365474253893,0.110861539841,0.122016660869,0.365474253893
conv2_2,w,"(128, 128, 3, 3)",-0.181904375553,0.277375727892,-0.000280771491816,0.0235406141728,0.277375727892
conv2_2,b,"(128,)",-0.595334768295,0.633757770061,0.0157630741596,0.188930481672,0.633757770061
conv3_1,w,"(256, 128, 3, 3)",-0.183063343167,0.544410824776,-0.000125896942336,0.0173761527985,0.544410824776
conv3_1,b,"(256,)",-0.200978964567,0.349496126175,0.0171437039971,0.0707189589739,0.349496126175
conv3_2,w,"(256, 256, 3, 3)",-0.177105024457,0.459316343069,-0.000238649809035,0.0123452022672,0.459316343069
conv3_2,b,"(256,)",-0.181248754263,0.274845004082,0.0357957705855,0.0762490108609,0.274845004082
conv3_3,w,"(256, 256, 3, 3)",-0.179684266448,0.391537368298,-0.000670670706313,0.012668473646,0.391537368298
conv3_3,b,"(256,)",-0.142887920141,0.594771742821,0.0261699147522,0.0832691714168,0.594771742821
conv4_1,w,"(512, 256, 3, 3)",-0.124099574983,0.313882261515,-0.000449347047834,0.0100516444072,0.313882261515
conv4_1,b,"(512,)",-0.145482346416,0.314845085144,0.0204377025366,0.0537190698087,0.314845085144
conv4_2,w,"(512, 512, 3, 3)",-0.105246983469,0.337660014629,-0.000467314443085,0.00762439379469,0.337660014629
conv4_2,b,"(512,)",-0.0842845290899,0.182375818491,0.0298600979149,0.0440914779902,0.182375818491
conv4_3,w,"(512, 512, 3, 3)",-0.127396658063,0.256235718727,-0.000809169432614,0.00795575417578,0.256235718727
conv4_3,b,"(512,)",-0.19835947454,0.337665468454,0.0319182984531,0.0680845752358,0.337665468454
conv5_1,w,"(512, 512, 3, 3)",-0.113298565149,0.190444394946,-0.000584893219639,0.00869384314865,0.190444394946
conv5_1,b,"(512,)",-0.350802809,0.639748513699,0.045724503696,0.131329134107,0.639748513699
conv5_2,w,"(512, 512, 3, 3)",-0.136811077595,0.2051512748,-0.000740742427297,0.00876055564731,0.2051512748
conv5_2,b,"(512,)",-0.917105674744,0.759766817093,0.0498643293977,0.212883904576,0.917105674744
conv5_3,w,"(512, 512, 3, 3)",-0.0928848236799,0.286996662617,-0.00108189496677,0.0084784058854,0.286996662617
conv5_3,b,"(512,)",-0.500367462635,9.43155288696,0.149863690138,0.49282130599,9.43155288696
fc6,w,"(4096, 25088)",-0.0270621050149,0.0266295671463,-0.00014126879978,0.00230690091848,0.0270621050149
fc6,b,"(4096,)",-0.780052542686,0.855507493019,0.0790477395058,0.189066112041,0.855507493019
fc7,w,"(4096, 4096)",-0.0216502416879,0.0326207913458,-0.000370782450773,0.00438419729471,0.0326207913458
fc7,b,"(4096,)",-0.0123399309814,1.21545553207,0.504431068897,0.144136592746,1.21545553207
fc8,w,"(1000, 4096)",-0.0354735739529,0.0572556369007,-5.35940614554e-07,0.00827997736633,0.0572556369007
fc8,b,"(1000,)",-0.773356974125,0.661554276943,1.40476231536e-06,0.191862374544,0.773356974125
