,Layer,Type,Shape,Min,Max,Mean,Std,L1
0,conv1,w,"(96, 3, 11, 11)",-0.358032792807,0.442555338144,3.359630864e-05,0.0585847236216,0.442555338144
1,conv1,b,"(96,)",-0.800920307636,0.283836513758,-0.454360455275,0.230025663972,0.800920307636
2,conv2,w,"(256, 48, 5, 5)",-0.258686184883,0.483176112175,-0.0011855304474,0.0252475682646,0.483176112175
3,conv2,b,"(256,)",0.0486860536039,0.1373783499,0.0929405763745,0.0164516922086,0.1373783499
4,conv3,w,"(384, 256, 3, 3)",-0.21888871491,0.467373967171,-0.000823255861178,0.0167946983129,0.467373967171
5,conv3,b,"(384,)",-0.0841298252344,0.0686104521155,-0.00254076998681,0.0256146881729,0.0841298252344
6,conv4,w,"(384, 192, 3, 3)",-0.158476620913,0.446372419596,-0.00118966656737,0.0181263219565,0.446372419596
7,conv4,b,"(384,)",-0.085494145751,0.307931065559,0.121038675308,0.071756541729,0.307931065559
8,conv5,w,"(256, 192, 3, 3)",-0.177438616753,0.338260501623,-0.00254852580838,0.0193381793797,0.338260501623
9,conv5,b,"(256,)",-0.483353495598,1.31098425388,0.221889153123,0.265844732523,1.31098425388
10,fc6,w,"(4096, 9216)",-0.0384303741157,0.042516823858,-0.000306127534714,0.00483106030151,0.042516823858
11,fc6,b,"(4096,)",-0.0108518414199,0.241305321455,0.103812642395,0.0329993776977,0.241305321455
12,fc7,w,"(4096, 4096)",-0.032973639667,0.0723930299282,-0.000737201306038,0.00648427149281,0.0723930299282
13,fc7,b,"(4096,)",0.0351181551814,0.611560106277,0.282311975956,0.0778036117554,0.611560106277
14,fc8,w,"(1000, 4096)",-0.0436433404684,0.074697881937,-1.63429643152e-08,0.0106763681397,0.074697881937
15,fc8,b,"(1000,)",-0.430729836226,0.400809973478,2.584457377e-07,0.130613833666,0.430729836226
