Layer,Type,Shape,Min,Max,Mean,Std,L1
conv1/7x7_s2,w,"(64, 3, 7, 7)",-1.03947782516,1.20375192165,3.42221392202e-05,0.196195349097,1.20375192165
conv1/7x7_s2,b,"(64,)",-7.9810385704,5.11253547668,-1.1809668541,2.82076358795,7.9810385704
conv2/3x3_reduce,w,"(64, 64, 1, 1)",-1.10433590412,0.995917379856,-0.00375920161605,0.189124181867,1.10433590412
conv2/3x3_reduce,b,"(64,)",-2.17439484596,2.25718569756,0.221336126328,0.746737599373,2.25718569756
conv2/3x3,w,"(192, 64, 3, 3)",-0.515687525272,0.77075946331,-0.00442630564794,0.0563469305634,0.77075946331
conv2/3x3,b,"(192,)",-0.653232634068,1.62555634975,0.0556295402348,0.288393288851,1.62555634975
inception_3a/1x1,w,"(64, 192, 1, 1)",-0.645254135132,1.08677017689,0.00074621551903,0.099313609302,1.08677017689
inception_3a/1x1,b,"(64,)",-1.01732647419,1.27258694172,0.0930723771453,0.466230869293,1.27258694172
inception_3a/3x3_reduce,w,"(96, 192, 1, 1)",-0.416160494089,1.60377550125,-0.000224093280849,0.0846316441894,1.60377550125
inception_3a/3x3_reduce,b,"(96,)",-0.544381976128,1.51214587688,0.0808998271823,0.464333504438,1.51214587688
inception_3a/3x3,w,"(128, 96, 3, 3)",-0.335053145885,0.548933029175,-0.0015837700339,0.0435119383037,0.548933029175
inception_3a/3x3,b,"(128,)",-0.464476823807,0.812633812428,0.133012667298,0.227082237601,0.812633812428
inception_3a/5x5_reduce,w,"(16, 192, 1, 1)",-0.423325508833,0.764574766159,0.000643663981464,0.0858260020614,0.764574766159
inception_3a/5x5_reduce,b,"(16,)",-0.142433777452,1.21213519573,0.342371582985,0.355568498373,1.21213519573
inception_3a/5x5,w,"(32, 16, 5, 5)",-0.427106559277,0.540831983089,-0.00164993584622,0.0559739023447,0.540831983089
inception_3a/5x5,b,"(32,)",-0.287408262491,0.547435998917,0.0865207612514,0.198015809059,0.547435998917
inception_3a/pool_proj,w,"(32, 192, 1, 1)",-0.898933649063,0.629520237446,-0.00355161726475,0.100597470999,0.898933649063
inception_3a/pool_proj,b,"(32,)",-0.0924610197544,0.754135131836,0.422968238592,0.167482733727,0.754135131836
inception_3b/1x1,w,"(128, 256, 1, 1)",-0.542995750904,0.694911897182,-0.00873397942632,0.0631412565708,0.694911897182
inception_3b/1x1,b,"(128,)",-0.43440541625,1.67305672169,0.282016396523,0.375882059336,1.67305672169
inception_3b/3x3_reduce,w,"(128, 256, 1, 1)",-0.432463109493,0.672016561031,-0.00377249298617,0.0695127546787,0.672016561031
inception_3b/3x3_reduce,b,"(128,)",-1.03027844429,1.44513785839,0.39337143302,0.368061482906,1.44513785839
inception_3b/3x3,w,"(192, 128, 3, 3)",-0.223149031401,0.602928876877,-0.00400128541514,0.0334206111729,0.602928876877
inception_3b/3x3,b,"(192,)",-0.169737055898,0.9919526577,0.245360374451,0.171083554626,0.9919526577
inception_3b/5x5_reduce,w,"(32, 256, 1, 1)",-0.499092131853,0.661898076534,-0.000903801352251,0.0757235437632,0.661898076534
inception_3b/5x5_reduce,b,"(32,)",0.0219559054822,1.79423165321,0.598898410797,0.423264950514,1.79423165321
inception_3b/5x5,w,"(96, 32, 5, 5)",-0.237485915422,0.366415381432,-0.00514502031729,0.0353289842606,0.366415381432
inception_3b/5x5,b,"(96,)",-0.253112345934,1.12323868275,0.192317053676,0.244029074907,1.12323868275
inception_3b/pool_proj,w,"(64, 256, 1, 1)",-0.404147177935,0.554685890675,-0.00592486187816,0.0647329986095,0.554685890675
inception_3b/pool_proj,b,"(64,)",-0.0604740045965,0.911071360111,0.249612852931,0.148715361953,0.911071360111
